sample_idx,method,perturbation_idx,pearson,rank_corr,topk_iou,target_confidence
2735,shap,0,0.9568138973941699,0.9503193331397669,1.0,0.9295796155929565
2735,shap,1,0.5333462478003596,0.6929672205509575,0.5143253234750462,0.9474430680274963
2735,shap,2,0.6054259753572102,0.4574678518945696,0.12572998969426313,0.9348081946372986
2735,shap,3,0.44695664734357354,0.7126361217342105,0.5143253234750462,0.9314667582511902
2735,shap,4,0.5483225195492815,0.7126361217342105,0.5143253234750462,0.9367310404777527
2796,gradcam,0,0.9872722245146653,0.9183988040741589,0.8214285714285714,0.7068153619766235
2796,gradcam,1,0.9173115679664512,0.8516672865644312,0.7586206896551724,0.633536159992218
2796,gradcam,2,0.9474781737359523,0.8657609006637674,0.7894736842105263,0.6230000257492065
2796,gradcam,3,0.9166472840958966,0.8183036736095216,0.6451612903225806,0.5996231436729431
2796,gradcam,4,0.9822675194730527,0.879414625772488,0.7288135593220338,0.6478177905082703
2796,lime,0,0.32606107626140096,0.1284047155394962,0.5143253234750462,0.6558477878570557
2796,lime,1,0.3326089799360988,0.0384914419607057,0.4046292327475354,0.6144397258758545
2796,lime,2,0.2608554129958941,0.04146647299771455,0.4046292327475354,0.709493100643158
2796,lime,3,0.18664095426198385,0.04853715720292548,0.34994850669412975,0.6092665195465088
2796,lime,4,0.3344068065588971,0.40073795655318706,0.5143253234750462,0.7299536466598511
2796,shap,0,0.700206378350928,0.046869372632479055,0.15123836290180923,0.6274827718734741
2796,shap,1,0.7055418742373601,-0.4511784174137818,0.15123836290180923,0.54454106092453
2796,shap,2,0.6581446209996069,-0.44765389515449927,0.15123836290180923,0.6537352800369263
2796,shap,3,0.6893578682138314,0.043316863143832846,0.15123836290180923,0.6845176219940186
2796,shap,4,0.9130720342204462,0.2524434782553803,0.15123836290180923,0.7183008193969727
3652,gradcam,0,0.8144926164777943,0.7253383211261158,0.5454545454545454,0.4531272053718567
3652,gradcam,1,0.9111302752263905,0.8216546978713665,0.7,0.47850149869918823
3652,gradcam,2,0.8277674628506578,0.7416206511787594,0.5,0.5148031115531921
3652,gradcam,3,0.9357184056820121,0.8374642366674296,0.7586206896551724,0.41901975870132446
3652,gradcam,4,0.7778802090643556,0.7140850308995194,0.5454545454545454,0.41866302490234375
3652,lime,0,0.9094289664081426,0.9997439896396385,1.0,0.48231935501098633
3652,lime,1,0.9052676833718841,0.9970964019213232,1.0,0.43760615587234497
3652,lime,2,0.925198799289005,0.9997439896396385,1.0,0.4536561369895935
3652,lime,3,0.9961035273877361,0.9970964019213232,1.0,0.4191802442073822
3652,lime,4,0.8316921369570756,0.9079041620923594,0.8246102449888641,0.47280973196029663
3652,shap,0,0.8949017704634566,0.8728863397530789,0.5927095990279465,0.46624502539634705
3652,shap,1,0.7410994957130284,0.6824771833729997,0.2686798296554394,0.4601864516735077
3652,shap,2,0.8954730262678049,0.8718002756821933,0.5927095990279465,0.5037510991096497
3652,shap,3,0.8829736589405243,0.8842870695980671,0.5927095990279465,0.43272843956947327
3652,shap,4,0.5379041421182796,0.6687775231305866,0.2686798296554394,0.47505539655685425
4015,gradcam,0,0.9562635948394128,0.9207098306248569,0.7288135593220338,0.29357287287712097
4015,gradcam,1,0.955088469773597,0.932639763103685,0.7,0.2925434410572052
4015,gradcam,2,0.96575057149128,0.9619707026779584,0.8214285714285714,0.40524551272392273
4015,gradcam,3,0.9901113835931986,0.974650949874113,0.8545454545454545,0.36321181058883667
4015,gradcam,4,0.8910468886612204,0.9030191405355916,0.6721311475409836,0.398031622171402
4015,lime,0,0.8198582066932443,0.9961187960926532,1.0,0.30525079369544983
4015,lime,1,0.9055295542711138,1.0,1.0,0.29531800746917725
4015,lime,2,0.9903333044810045,0.9980222909979596,1.0,0.3332650065422058
4015,lime,3,0.9700050294228981,0.9891189238400613,1.0,0.35840535163879395
4015,lime,4,0.9954611575604663,0.9961187960926532,1.0,0.414171427488327
4015,shap,0,0.9536363913389312,0.744988212405107,0.404930332261522,0.29814407229423523
4015,shap,1,0.9569687133698542,0.744988212405107,0.404930332261522,0.2736609876155853
4015,shap,2,0.9644909535979251,0.6867299669373514,0.3356429590381088,0.3736175000667572
4015,shap,3,0.9874613900653046,0.8354375813914452,0.404930332261522,0.34892216324806213
4015,shap,4,0.9797403907224299,0.8362134625368802,0.404930332261522,0.3819218575954437
4161,gradcam,0,0.9541467115765334,0.8498826962691691,0.7288135593220338,0.7553143501281738
4161,gradcam,1,0.9258296017794408,0.7915484092469672,0.7288135593220338,0.8375316262245178
4161,gradcam,2,0.9369719096799111,0.862557936598764,0.6721311475409836,0.8328076004981995
4161,gradcam,3,0.9318368578439769,0.8507531757839323,0.59375,0.8193191289901733
4161,gradcam,4,0.9550740900112843,0.8193687056534676,0.7586206896551724,0.7611480951309204
4161,lime,0,0.8773752365701054,0.31734835504708725,0.7242830833991055,0.7438675761222839
4161,lime,1,0.6736230785382983,0.6054505450628543,0.32217066774258624,0.8286611437797546
4161,lime,2,0.8351846385479985,0.4682466390431166,0.9008120649651972,0.8357408046722412
4161,lime,3,0.8427772034757224,0.572241614899123,0.37371620205407674,0.800155520439148
4161,lime,4,0.8898364379385634,0.358405443996188,0.7242830833991055,0.7451375722885132
4161,shap,0,0.8348323736148376,0.706141957232246,0.5066666666666667,0.7657400965690613
4161,shap,1,0.6385055943796384,0.6890006183322352,0.47912435116226587,0.8411982655525208
4161,shap,2,0.9148473198633316,0.7270681814998818,0.7229232386961093,0.8409847021102905
4161,shap,3,0.8707003363493335,0.7769777450344016,0.47912435116226587,0.8297824859619141
4161,shap,4,0.8028393559024948,0.9943287587382389,1.0,0.7653471231460571
4178,gradcam,0,0.8871443837537024,0.8546728370336462,0.7288135593220338,0.6747965216636658
4178,gradcam,1,0.9841326464312761,0.9277745193408102,0.7894736842105263,0.8343722224235535
4178,gradcam,2,0.9748731666044321,0.9062292572671091,0.7288135593220338,0.8077780604362488
4178,gradcam,3,0.9830564209920274,0.9247453650720989,0.7586206896551724,0.840036153793335
4178,gradcam,4,0.9522259672384804,0.9012839036392767,0.8214285714285714,0.8228837847709656
4178,lime,0,0.6399609404675176,0.5466365108213933,0.4288205798997166,0.7132010459899902
4178,lime,1,0.8938567806263017,0.5696336144594345,0.9669867947178872,0.8138242363929749
4178,lime,2,0.8879180194424531,0.568831800753228,0.9663966396639664,0.8195366859436035
4178,lime,3,0.921638365125717,0.7229422633637764,0.9681681681681682,0.8344568610191345
4178,lime,4,0.8864272281863033,0.7922163897955382,0.9663966396639664,0.8427429795265198
4178,shap,0,0.3863036552299083,0.4535997666234331,0.2689254598257502,0.7318398952484131
4178,shap,1,0.8074259137557083,0.4943867841384492,0.785344592754018,0.8128519058227539
4178,shap,2,0.6824452190256967,0.6274612916032142,0.5143253234750462,0.8494632840156555
4178,shap,3,0.7498903163106266,0.5749997596314633,0.785344592754018,0.7942962050437927
4178,shap,4,0.9568572621252419,0.8218665779826237,0.4232356134636265,0.8567633628845215
4235,gradcam,0,0.867058447181472,0.8820046063172351,0.6190476190476191,0.23299209773540497
4235,gradcam,1,0.8095935718862148,0.8107239929045548,0.5,0.2426675707101822
4235,gradcam,2,0.8865154925707539,0.7625829709315632,0.59375,0.1289237141609192
4235,gradcam,3,0.859569057577326,0.831978141451133,0.5692307692307692,0.24532148241996765
4235,gradcam,4,0.7288899980932455,0.7630636301213092,0.43661971830985913,0.21521897614002228
